w6sgq4,cntry,w6age,gndr,eisced,mnactic,hinctnta,netusoft,hincfel,w6sgq11,w6sgq12,w6sgq5,w6wq2,w6wq8,w6sgq22
public_transport,CZ,80,female,3,retired,decile_1,4,4,2,4,7,5,4,3
public_transport,CZ,53,female,5,paid_work,decile_7,2,3,3,5,9,4,6,4
public_transport,CZ,48,female,2,housework,decile_2,5,4,5,10,10,0,6,5
gasoline_car,CZ,46,male,5,paid_work,decile_10,5,1,3,6,6,2,5,1
public_transport,CZ,82,female,5,retired,decile_2,3,2,2,8,8,5,5,3
public_transport,CZ,77,female,4,retired,decile_7,4,2,2,5,7,4,4,3
bicycle,CZ,65,male,3,unemployed_not_looking,decile_1,5,2,2,3,10,1,5,2
bicycle,CZ,53,female,3,paid_work,decile_2,5,2,3,5,3,4,3,3
public_transport,CZ,79,female,3,retired,decile_3,2,2,3,6,5,4,3,3
walking,CZ,71,female,3,retired,decile_5,5,2,4,3,5,1,4,4
public_transport,CZ,47,male,4,paid_work,decile_7,5,2,2,7,9,4,5,3
public_transport,CZ,34,male,7,paid_work,decile_8,5,1,1,0,10,5,6,4
public_transport,CZ,47,female,4,paid_work,decile_2,4,3,3,4,4,1,4,3
public_transport,CZ,62,male,5,paid_work,decile_5,2,2,4,4,4,4,3,3
walking,CZ,37,female,4,paid_work,decile_10,5,2,4,8,6,4,1,3
gasoline_car,CZ,28,male,4,paid_work,decile_8,5,1,2,5,8,2,5,2
bicycle,CZ,61,female,2,paid_work,decile_4,3,2,4,0,8,2,1,5
gasoline_car,CZ,65,male,7,paid_work,decile_7,5,2,4,8,10,4,6,1
gasoline_car,CZ,39,male,7,unemployed_looking,decile_3,4,2,1,7,5,3,2,5
public_transport,CZ,52,female,3,paid_work,decile_1,3,3,4,5,4,3,3,3
public_transport,CZ,84,female,4,retired,decile_2,4,1,3,1,9,5,4,5
walking,CZ,76,male,3,retired,decile_4,4,3,2,5,5,2,4,3
public_transport,CZ,42,female,7,paid_work,decile_3,5,2,3,4,8,3,5,4
public_transport,CZ,49,female,4,housework,decile_6,5,2,3,4,8,3,5,3
gasoline_car,CZ,37,female,4,paid_work,decile_1,5,4,2,0,0,0,1,2
gasoline_car,CZ,67,female,5,retired,decile_7,5,4,4,0,5,3,2,4
gasoline_car,CZ,38,female,4,unemployed_looking,decile_7,5,2,2,5,3,6,5,3
public_transport,CZ,75,female,4,retired,decile_6,5,1,3,0,10,0,5,1
gasoline_car,CZ,30,female,6,paid_work,decile_7,5,2,4,6,7,2,5,3
public_transport,CZ,43,female,4,paid_work,decile_8,5,2,3,5,10,2,5,3
walking,CZ,84,male,4,retired,decile_5,4,2,3,5,8,0,6,3
gasoline_car,CZ,66,male,5,paid_work,decile_5,4,1,3,7,8,2,4,3
gasoline_car,CZ,48,male,3,paid_work,decile_6,4,1,1,0,4,5,3,5
gasoline_car,CZ,47,female,5,paid_work,decile_6,3,1,3,6,5,3,4,3
public_transport,CZ,43,male,3,paid_work,decile_2,5,3,5,10,5,6,3,5
public_transport,CZ,42,female,5,paid_work,decile_9,4,2,5,2,0,1,1,3
public_transport,CZ,75,female,3,retired,decile_2,5,2,4,3,10,4,5,4
gasoline_car,CZ,57,male,3,retired,decile_7,5,3,2,4,3,2,5,4
walking,CZ,68,male,4,sick_disabled,decile_1,5,3,1,2,0,3,3,5
public_transport,CZ,81,female,3,retired,decile_4,3,2,3,5,4,3,5,2
walking,CZ,84,male,5,retired,decile_7,5,1,2,5,8,6,5,3
walking,CZ,47,female,4,paid_work,decile_7,4,2,3,3,7,2,2,3
public_transport,CZ,48,male,3,paid_work,decile_6,5,3,4,5,6,3,4,2
gasoline_car,CZ,74,male,4,retired,decile_7,5,2,3,2,6,1,1,3
walking,CZ,36,male,7,paid_work,decile_7,5,1,4,7,10,4,6,2
public_transport,CZ,64,female,3,paid_work,decile_2,4,3,3,5,8,3,4,4
public_transport,CZ,57,female,3,paid_work,decile_6,4,2,3,5,5,0,4,3
gasoline_car,CZ,46,male,4,paid_work,decile_7,5,2,3,4,5,2,3,2
gasoline_car,CZ,75,male,5,retired,decile_2,5,2,2,3,4,3,3,4
walking,CZ,60,female,4,paid_work,decile_4,5,2,3,7,10,2,3,4
public_transport,CZ,39,female,3,paid_work,decile_7,5,2,3,5,4,5,2,3
public_transport,CZ,42,male,4,paid_work,decile_10,5,1,1,0,7,3,4,5
public_transport,CZ,59,female,4,paid_work,decile_3,5,3,3,4,10,2,5,5
public_transport,CZ,51,female,4,paid_work,decile_7,4,2,3,5,9,4,5,4
electric_car,CZ,46,male,6,paid_work,decile_7,5,1,3,7,9,3,4,3
gasoline_car,CZ,55,male,3,paid_work,decile_6,5,3,3,4,6,0,4,3
gasoline_car,CZ,52,female,4,paid_work,decile_10,5,1,4,5,5,1,4,3
walking,CZ,74,male,4,retired,decile_4,5,2,1,0,10,3,3,5
gasoline_car,CZ,80,male,3,retired,decile_5,3,3,4,6,8,3,5,4
gasoline_car,CZ,53,male,4,paid_work,decile_7,5,2,1,0,2,3,5,3
walking,CZ,82,female,4,retired,decile_3,3,2,2,6,8,3,4,3
walking,CZ,49,female,3,paid_work,decile_5,5,1,3,5,5,4,4,2
bicycle,CZ,61,female,7,paid_work,decile_6,5,3,2,4,8,3,3,4
gasoline_car,CZ,78,female,7,retired,decile_5,5,2,2,2,9,3,5,5
public_transport,CZ,75,female,4,retired,decile_5,4,2,2,0,10,0,5,5
walking,CZ,40,female,7,paid_work,decile_10,5,2,4,7,9,2,4,2
bicycle,CZ,40,female,4,housework,decile_6,5,2,2,5,5,3,3,5
public_transport,CZ,39,female,5,sick_disabled,decile_4,5,2,4,8,4,4,5,5
gasoline_car,CZ,40,male,5,paid_work,decile_7,5,1,2,4,2,4,5,5
gasoline_car,CZ,62,female,7,paid_work,decile_7,5,2,3,7,7,2,4,3
gasoline_car,CZ,31,female,5,housework,decile_5,5,1,3,4,5,3,4,2
public_transport,CZ,51,male,6,paid_work,decile_4,4,2,3,4,5,1,3,5
gasoline_car,CZ,73,female,5,retired,decile_5,5,2,2,0,5,3,5,5
public_transport,CZ,44,female,7,paid_work,decile_10,5,1,3,5,8,2,4,2
walking,CZ,74,male,5,retired,decile_5,5,2,2,0,6,1,6,5
walking,CZ,80,female,7,retired,decile_5,5,2,2,2,9,2,4,3
public_transport,CZ,81,male,4,retired,decile_5,5,2,3,6,7,2,2,3
walking,CZ,77,female,7,retired,decile_5,5,2,2,0,9,4,5,3
gasoline_car,CZ,69,female,4,retired,decile_9,5,2,3,3,9,4,5,4
gasoline_car,CZ,53,female,4,paid_work,decile_1,5,4,5,8,5,0,2,4
gasoline_car,CZ,62,female,3,paid_work,decile_6,5,1,3,4,8,2,4,3
gasoline_car,CZ,28,female,2,housework,decile_4,5,3,3,5,5,2,2,4
gasoline_car,CZ,69,male,4,paid_work,decile_6,5,2,1,0,8,3,5,3
public_transport,CZ,72,male,3,retired,decile_5,3,2,2,2,5,2,3,4
public_transport,CZ,57,male,4,paid_work,decile_5,5,2,3,2,9,0,5,3
gasoline_car,CZ,67,female,3,paid_work,decile_6,5,1,3,2,3,3,4,5
gasoline_car,CZ,37,male,7,paid_work,decile_8,5,1,4,8,5,6,5,4
public_transport,CZ,23,female,2,education,decile_7,5,3,3,0,5,0,2,4
gasoline_car,CZ,80,male,3,retired,decile_4,3,3,3,2,8,1,2,5
gasoline_car,CZ,84,female,4,retired,decile_2,5,2,2,5,7,4,5,5
gasoline_car,CZ,38,female,7,housework,decile_4,4,2,3,7,8,4,3,4
walking,CZ,60,female,7,paid_work,decile_9,5,1,5,7,3,4,5,3
public_transport,CZ,76,female,4,retired,decile_3,5,3,2,0,5,1,2,5
public_transport,CZ,52,male,7,paid_work,decile_9,5,1,2,5,7,3,4,3
public_transport,CZ,46,female,4,housework,decile_5,4,3,1,0,9,2,4,5
public_transport,CZ,46,female,5,paid_work,decile_7,5,3,3,5,5,5,2,4
gasoline_car,CZ,51,female,5,paid_work,decile_7,5,2,4,7,6,3,6,4
public_transport,CZ,64,female,4,paid_work,decile_7,3,1,2,2,8,4,3,5
public_transport,CZ,37,female,3,unemployed_looking,decile_2,3,3,2,5,7,3,3,2
public_transport,CZ,52,female,5,housework,decile_3,5,2,3,6,9,2,4,3
walking,CZ,39,female,7,housework,decile_9,5,1,2,6,7,4,5,2
walking,CZ,53,male,4,paid_work,decile_6,5,2,4,5,5,5,4,4
public_transport,CZ,53,female,4,paid_work,decile_3,5,2,4,5,5,3,3,5
public_transport,CZ,70,female,3,retired,decile_7,5,1,2,3,9,4,3,4
bicycle,CZ,61,male,4,paid_work,decile_8,5,2,3,5,8,1,2,3
walking,CZ,58,female,5,paid_work,decile_7,5,2,1,5,10,3,6,2
public_transport,CZ,48,female,7,paid_work,decile_4,4,2,4,6,8,3,4,3
walking,CZ,82,female,5,retired,decile_2,3,3,4,3,9,3,3,3
gasoline_car,CZ,57,female,7,paid_work,decile_9,5,1,2,2,2,3,4,5
gasoline_car,CZ,48,female,7,paid_work,decile_2,5,2,5,10,5,3,4,4
walking,CZ,77,male,7,retired,decile_5,5,2,4,3,3,4,2,4
public_transport,CZ,57,female,3,paid_work,decile_10,5,1,2,5,10,4,6,4
public_transport,CZ,72,female,3,housework,decile_5,4,3,4,5,8,2,5,5
public_transport,CZ,61,male,5,paid_work,decile_3,5,3,4,8,10,5,4,3
gasoline_car,CZ,38,male,6,paid_work,decile_9,5,1,3,5,5,3,4,4
walking,CZ,44,male,7,paid_work,decile_10,5,2,2,0,10,6,6,3
walking,CZ,60,female,7,sick_disabled,decile_7,5,1,2,6,8,0,2,5
public_transport,CZ,69,female,5,retired,decile_7,4,1,2,5,6,3,2,4
public_transport,CZ,40,female,7,paid_work,decile_3,4,2,2,5,5,1,3,4
gasoline_car,CZ,36,female,6,paid_work,decile_5,5,2,5,6,3,5,3,5
gasoline_car,CZ,57,male,4,paid_work,decile_8,5,1,1,5,10,5,6,2
gasoline_car,CZ,55,male,3,paid_work,decile_7,4,2,1,1,0,5,1,5
public_transport,CZ,55,male,7,paid_work,decile_10,5,2,4,7,1,3,5,5
gasoline_car,CZ,61,male,4,paid_work,decile_8,5,2,1,0,7,1,0,5
public_transport,CZ,77,female,4,retired,decile_1,3,3,3,2,7,5,5,3
public_transport,CZ,22,female,2,education,decile_10,5,1,5,4,8,3,4,3
electric_car,CZ,40,male,7,paid_work,decile_9,5,1,4,4,0,4,4,5
public_transport,CZ,61,female,5,unemployed_looking,decile_4,3,3,2,6,6,2,1,4
gasoline_car,CZ,69,female,4,paid_work,decile_6,5,1,2,2,9,6,3,5
gasoline_car,CZ,64,male,3,paid_work,decile_4,5,3,2,5,5,3,3,4
walking,CZ,66,female,7,retired,decile_2,3,2,3,5,3,2,3,3
public_transport,CZ,56,female,3,paid_work,decile_2,4,4,4,3,9,2,4,4
walking,CZ,75,male,4,retired,decile_5,3,1,2,4,9,2,3,2
public_transport,CZ,61,female,3,sick_disabled,decile_6,5,2,3,4,8,3,3,4
walking,CZ,62,female,5,paid_work,decile_2,5,2,5,5,5,1,4,3
walking,CZ,74,female,5,retired,decile_4,5,2,4,5,5,3,4,3
gasoline_car,CZ,32,female,4,paid_work,decile_4,5,4,4,3,8,4,4,4
walking,CZ,71,female,4,retired,decile_2,3,2,3,3,8,2,5,2
public_transport,CZ,70,male,4,retired,decile_1,2,2,3,4,8,3,6,3
walking,CZ,39,female,4,other,decile_6,3,2,2,4,7,3,4,4
walking,CZ,27,female,4,education,decile_2,5,3,4,8,6,2,1,4
gasoline_car,CZ,42,male,3,paid_work,decile_5,2,2,2,4,3,2,3,2
walking,CZ,80,male,7,retired,decile_7,5,1,3,3,8,3,5,3
gasoline_car,CZ,65,male,4,paid_work,decile_2,2,2,4,0,5,3,5,3
bicycle,CZ,54,female,7,paid_work,decile_7,5,2,3,4,8,2,4,4
public_transport,CZ,72,female,4,retired,decile_1,4,3,4,5,7,4,2,2
public_transport,CZ,26,male,4,education,decile_4,5,4,1,0,9,4,5,5
public_transport,CZ,54,female,4,paid_work,decile_3,5,2,1,4,9,5,6,2
gasoline_car,CZ,75,male,3,retired,decile_3,2,2,3,4,8,3,3,4
public_transport,CZ,41,female,7,paid_work,decile_7,5,2,2,6,3,4,3,4
gasoline_car,CZ,54,male,3,paid_work,decile_6,2,3,2,5,7,3,3,4
public_transport,CZ,64,female,3,paid_work,decile_3,5,4,3,5,7,2,1,3
public_transport,CZ,65,female,5,retired,decile_5,3,3,4,5,5,3,4,3
public_transport,CZ,62,female,3,paid_work,decile_6,5,2,4,6,9,2,1,5
gasoline_car,CZ,74,female,4,retired,decile_1,3,3,2,0,5,0,1,4
walking,CZ,30,female,7,paid_work,decile_7,5,2,3,1,5,0,3,4
gasoline_car,FI,68,male,4,paid_work,decile_6,2,2,2,2,0,0,3,4
walking,FI,27,male,4,paid_work,decile_5,5,2,1,0,8,1,3,5
gasoline_car,FI,63,male,7,unemployed_not_looking,decile_8,5,2,4,10,6,3,4,1
gasoline_car,FI,60,female,7,paid_work,decile_10,5,1,4,8,7,4,4,2
gasoline_car,FI,52,male,4,paid_work,decile_8,5,2,5,7,5,5,2,2
walking,FI,74,female,4,retired,decile_2,3,4,5,10,8,4,6,2
gasoline_car,FI,56,female,6,paid_work,decile_9,5,1,3,8,5,1,5,2
public_transport,FI,77,female,5,retired,decile_6,5,2,3,7,8,4,5,2
bicycle,FI,46,female,7,paid_work,decile_8,5,2,3,8,8,4,5,2
bicycle,FI,53,female,7,paid_work,decile_10,5,1,2,7,2,3,4,3
walking,FI,66,female,5,sick_disabled,decile_4,5,2,3,5,9,2,3,3
walking,FI,32,female,4,education,decile_1,5,4,4,7,1,3,5,2
gasoline_car,FI,50,male,4,paid_work,decile_5,5,2,3,5,4,2,2,5
gasoline_car,FI,28,female,4,education,decile_1,5,2,5,10,5,5,2,2
walking,FI,77,male,7,paid_work,decile_9,5,1,4,8,9,2,6,2
bicycle,FI,57,male,4,paid_work,decile_7,5,1,1,0,7,3,5,2
walking,FI,56,male,4,paid_work,decile_9,5,1,3,8,8,4,5,2
public_transport,FI,37,female,4,paid_work,decile_8,5,2,4,9,4,1,1,3
gasoline_car,FI,68,female,1,paid_work,decile_4,5,2,3,4,2,4,3,3
walking,FI,34,female,7,paid_work,decile_7,5,2,3,5,7,4,4,3
bicycle,FI,37,female,6,other,decile_9,5,1,3,9,7,5,4,2
gasoline_car,FI,29,female,4,paid_work,decile_4,5,2,3,9,3,4,5,4
public_transport,FI,37,female,6,education,decile_1,5,2,5,7,8,3,4,2
electric_car,FI,68,male,7,paid_work,decile_8,5,1,4,9,5,5,6,1
public_transport,FI,60,female,6,unemployed_looking,decile_2,5,4,4,5,8,3,2,2
walking,FI,56,male,6,paid_work,decile_7,5,2,3,8,8,6,5,3
bicycle,FI,40,male,4,paid_work,decile_6,5,2,3,1,5,3,5,3
walking,FI,61,male,4,paid_work,decile_6,5,2,2,0,6,1,5,4
gasoline_car,FI,47,female,6,paid_work,decile_10,5,1,3,3,6,4,5,2
public_transport,FI,68,female,7,retired,decile_6,5,1,3,8,9,3,5,1
gasoline_car,FI,76,female,4,retired,decile_6,4,2,2,5,2,3,5,3
electric_car,FI,34,male,6,paid_work,decile_8,5,1,4,5,9,5,5,2
gasoline_car,FI,67,male,6,paid_work,decile_9,5,1,4,8,8,4,5,2
bicycle,FI,65,female,4,paid_work,decile_1,5,4,4,8,3,3,5,3
gasoline_car,FI,22,female,2,education,decile_7,5,2,5,7,5,2,3,3
gasoline_car,FI,75,male,5,retired,decile_7,5,2,3,7,6,4,5,4
gasoline_car,FI,32,male,7,paid_work,decile_8,5,2,3,5,5,2,4,3
gasoline_car,FI,32,female,6,paid_work,decile_9,5,1,3,5,8,4,5,3
gasoline_car,FI,54,female,6,paid_work,decile_10,5,1,3,9,9,4,5,2
walking,FI,82,female,5,retired,decile_8,4,2,3,8,7,4,3,2
gasoline_car,FI,70,female,7,retired,decile_7,5,2,4,8,4,5,5,2
electric_car,FI,60,male,4,paid_work,decile_7,5,2,2,3,8,4,5,4
electric_car,FI,30,male,4,paid_work,decile_3,5,2,2,4,9,4,4,3
electric_car,FI,56,male,4,paid_work,decile_10,5,1,2,4,10,6,6,2
gasoline_car,FI,51,female,4,paid_work,decile_8,5,2,3,10,7,2,5,4
gasoline_car,FI,52,female,6,paid_work,decile_8,5,2,3,8,1,4,3,3
gasoline_car,FI,70,female,5,retired,decile_8,5,1,5,10,1,3,4,3
bicycle,FI,66,male,5,unemployed_not_looking,decile_6,5,1,3,8,8,4,6,3
gasoline_car,FI,68,female,6,retired,decile_4,5,2,2,8,3,5,5,3
gasoline_car,FI,73,female,5,retired,decile_5,5,2,3,7,6,3,5,3
electric_car,FI,79,female,4,retired,decile_6,5,2,2,5,9,4,5,3
gasoline_car,FI,60,female,7,paid_work,decile_8,5,2,4,7,7,4,5,4
walking,FI,40,male,4,paid_work,decile_6,5,1,2,1,7,4,6,4
public_transport,FI,60,female,5,paid_work,decile_5,5,1,4,8,8,2,5,3
gasoline_car,FI,79,male,4,retired,decile_7,5,2,2,8,0,5,6,3
walking,FI,80,female,6,retired,decile_7,3,1,3,6,4,5,5,2
walking,FI,65,female,5,retired,decile_1,5,2,4,7,4,3,3,1
walking,FI,63,female,7,retired,decile_9,5,1,3,8,4,3,6,3
walking,FI,76,male,7,retired,decile_9,5,1,4,9,5,5,4,1
gasoline_car,FI,74,male,5,retired,decile_7,5,2,3,7,4,3,3,3
gasoline_car,FI,47,male,5,paid_work,decile_8,5,2,1,0,7,0,2,5
walking,FI,63,female,4,paid_work,decile_5,5,1,4,6,7,3,4,2
walking,FI,63,female,6,retired,decile_9,5,2,4,10,6,4,5,3
bicycle,FI,54,male,7,paid_work,decile_9,5,1,4,9,7,6,5,2
electric_car,FI,72,female,5,retired,decile_7,5,2,4,6,9,4,3,2
electric_car,FI,48,female,6,paid_work,decile_10,5,2,4,9,3,5,5,2
gasoline_car,FI,53,female,7,paid_work,decile_10,5,1,3,7,7,4,5,3
gasoline_car,FI,51,male,6,paid_work,decile_8,5,2,1,5,8,4,5,5
walking,FI,70,female,4,retired,decile_9,5,2,4,6,9,4,4,3
gasoline_car,FI,74,male,7,retired,decile_8,5,1,3,7,9,4,5,4
walking,FI,69,male,5,retired,decile_9,5,1,4,8,8,3,4,3
gasoline_car,FI,73,female,5,retired,decile_7,5,2,3,7,6,4,5,3
walking,FI,56,male,7,paid_work,decile_9,5,1,3,7,8,5,5,3
walking,FI,61,female,5,paid_work,decile_8,5,1,3,5,6,2,5,2
public_transport,FI,62,female,6,paid_work,decile_10,5,2,3,6,8,2,5,2
gasoline_car,FI,34,female,7,paid_work,decile_5,5,1,2,8,9,4,6,2
gasoline_car,FI,76,female,5,retired,decile_1,5,2,3,9,8,4,4,2
gasoline_car,FI,54,female,7,paid_work,decile_10,5,2,3,8,2,5,5,5
electric_car,FI,43,male,4,paid_work,decile_6,5,3,3,2,7,4,3,3
walking,FI,80,female,5,retired,decile_6,3,2,3,6,3,3,5,2
public_transport,FI,39,female,7,education,decile_10,5,1,5,8,8,3,5,1
gasoline_car,FI,76,male,6,paid_work,decile_7,5,1,3,8,9,3,5,2
electric_car,FI,71,male,6,retired,decile_6,5,1,5,9,6,3,5,2
walking,FI,66,female,7,paid_work,decile_10,5,1,4,7,7,4,5,2
walking,FI,86,female,7,retired,decile_9,5,2,3,4,9,3,4,2
walking,FI,81,male,6,retired,decile_7,5,2,4,6,7,2,4,4
electric_car,FI,55,male,5,paid_work,decile_10,5,2,2,2,5,3,5,4
electric_car,FI,48,male,6,paid_work,decile_9,5,2,1,0,10,3,5,5
gasoline_car,FI,39,female,6,paid_work,decile_8,5,2,3,10,6,6,6,3
walking,FI,57,male,6,paid_work,decile_9,5,2,4,4,8,1,2,3
electric_car,FI,61,male,6,paid_work,decile_10,5,1,4,3,3,2,2,3
electric_car,FI,37,male,7,paid_work,decile_9,5,1,3,8,9,4,4,2
gasoline_car,FI,55,female,7,paid_work,decile_10,5,2,4,10,0,5,6,1
walking,FI,24,female,4,education,decile_1,5,2,3,7,10,4,5,3
electric_car,FI,60,male,4,paid_work,decile_10,5,2,3,7,6,3,4,4
public_transport,FI,85,female,5,retired,decile_2,5,2,3,5,10,3,4,2
gasoline_car,FI,41,male,7,paid_work,decile_7,5,1,2,1,8,5,6,3
public_transport,FI,53,male,4,paid_work,decile_9,5,2,3,5,9,4,4,3
public_transport,FI,36,female,7,education,decile_7,5,2,3,8,8,2,4,1
gasoline_car,FI,34,female,7,paid_work,decile_9,5,1,5,8,9,5,5,2
walking,FI,66,male,5,paid_work,decile_9,5,1,4,9,8,4,4,1
walking,FI,29,female,7,paid_work,decile_6,5,1,5,10,5,4,5,2
electric_car,FI,55,male,7,paid_work,decile_10,5,2,4,8,0,4,4,2
bicycle,FI,79,male,7,retired,decile_8,5,1,3,5,8,3,4,2
bicycle,FI,79,female,4,retired,decile_3,5,2,4,7,7,3,3,3
gasoline_car,FI,73,female,1,retired,decile_4,2,3,4,4,8,2,2,2
gasoline_car,FI,62,male,4,paid_work,decile_8,5,2,3,7,8,2,4,3
gasoline_car,FI,55,female,5,paid_work,decile_8,5,2,3,5,0,4,5,3
public_transport,FI,38,female,7,paid_work,decile_9,5,1,3,8,8,4,4,1
gasoline_car,FI,66,female,5,unemployed_looking,decile_7,5,1,3,8,3,4,5,3
electric_car,FI,44,male,7,paid_work,decile_10,5,1,3,7,8,4,5,3
electric_car,FI,41,female,7,paid_work,decile_9,5,1,5,6,3,3,4,2
electric_car,FI,58,male,7,paid_work,decile_10,5,1,3,8,4,5,6,3
gasoline_car,FI,56,male,4,paid_work,decile_8,5,2,2,1,8,2,5,3
gasoline_car,FI,32,female,4,housework,decile_6,5,2,3,7,6,4,2,4
electric_car,FI,43,female,7,paid_work,decile_10,5,1,3,2,0,5,6,3
public_transport,FI,70,female,7,paid_work,decile_5,5,2,2,5,8,2,4,2
walking,FI,34,male,7,paid_work,decile_10,5,1,4,8,7,3,5,2
walking,FI,60,male,4,retired,decile_1,5,2,3,0,10,3,6,1
bicycle,FI,62,female,7,unemployed_looking,decile_4,5,3,4,9,8,6,2,2
gasoline_car,FI,73,male,5,retired,decile_7,5,1,3,6,9,3,5,2
electric_car,FI,63,male,5,paid_work,decile_7,5,1,4,7,8,3,5,3
gasoline_car,FI,73,male,5,retired,decile_4,5,1,3,7,6,3,5,3
gasoline_car,FI,72,male,1,retired,decile_3,5,2,2,5,10,3,5,3
public_transport,FI,52,male,5,paid_work,decile_5,5,3,4,10,9,4,5,2
walking,FI,67,female,5,retired,decile_8,4,1,3,3,8,4,5,3
electric_car,FI,48,male,7,paid_work,decile_10,5,1,4,6,1,5,5,2
walking,FI,58,female,7,paid_work,decile_10,5,1,4,5,5,4,5,3
walking,FI,47,female,4,paid_work,decile_9,5,2,3,8,5,4,4,5
public_transport,FI,82,male,6,retired,decile_9,5,1,4,8,8,1,4,2
gasoline_car,FI,35,female,7,paid_work,decile_9,5,1,2,6,5,6,6,4
walking,FI,74,female,7,retired,decile_10,5,1,3,7,8,4,5,4
bicycle,FI,47,male,7,paid_work,decile_10,5,1,2,5,0,1,4,4
walking,FI,72,female,4,retired,decile_6,3,1,2,8,8,4,4,3
walking,FI,40,female,6,paid_work,decile_8,5,2,2,6,10,3,4,3
bicycle,FI,57,male,6,paid_work,decile_9,5,1,4,8,9,3,5,1
bicycle,FI,56,female,7,paid_work,decile_9,5,2,4,7,9,3,4,2
electric_car,FI,53,male,4,paid_work,decile_8,5,2,3,6,5,3,3,3
gasoline_car,FI,45,female,7,paid_work,decile_9,5,2,3,7,2,5,4,4
walking,FI,76,male,5,retired,decile_9,5,1,4,6,8,2,4,2
bicycle,FI,74,male,6,retired,decile_1,5,3,5,9,1,0,1,5
walking,FI,60,male,7,paid_work,decile_7,5,2,2,3,8,3,5,3
gasoline_car,FI,49,female,7,paid_work,decile_8,5,1,3,6,3,5,6,3
gasoline_car,FI,69,male,4,paid_work,decile_7,5,2,2,7,3,5,6,3
gasoline_car,FI,51,male,4,paid_work,decile_7,5,2,3,10,10,5,3,3
bicycle,FI,45,male,4,paid_work,decile_6,5,3,3,7,9,2,5,2
gasoline_car,FI,63,female,4,unemployed_looking,decile_6,5,2,5,10,10,6,6,5
gasoline_car,FI,74,male,5,retired,decile_5,5,2,3,6,7,3,3,2
walking,FI,79,female,6,retired,decile_6,5,2,4,5,4,3,5,3
electric_car,FI,40,female,6,paid_work,decile_5,5,3,3,8,7,3,5,3
public_transport,FI,57,male,6,paid_work,decile_2,5,2,5,8,9,5,5,2
electric_car,FI,73,female,5,retired,decile_9,4,1,2,5,3,1,6,3
gasoline_car,FI,77,male,7,retired,decile_6,5,3,3,7,5,4,4,2
gasoline_car,FI,41,male,4,education,decile_9,5,1,3,1,3,6,4,4
gasoline_car,FI,51,female,5,paid_work,decile_9,5,1,3,7,5,4,4,4
bicycle,FI,55,male,4,paid_work,decile_9,5,2,3,6,8,2,3,3
walking,FI,84,male,4,retired,decile_6,4,2,3,6,8,3,4,3
walking,FI,59,male,4,paid_work,decile_8,5,1,4,9,9,5,5,2
gasoline_car,FI,46,female,7,paid_work,decile_7,5,1,4,9,6,3,4,3
gasoline_car,FI,62,male,4,paid_work,decile_7,4,1,3,4,7,4,4,3
walking,FI,82,female,6,retired,decile_7,4,2,4,9,8,2,4,2
gasoline_car,FI,42,male,6,paid_work,decile_7,5,1,2,3,6,3,4,5
electric_car,FI,80,male,7,retired,decile_9,5,1,4,8,5,4,5,2
gasoline_car,FI,64,female,5,retired,decile_6,5,3,3,6,3,4,5,3
gasoline_car,FI,74,male,6,retired,decile_4,5,2,4,8,7,3,5,3
walking,FI,63,female,2,paid_work,decile_6,5,2,4,9,10,3,5,3
walking,FI,79,male,7,retired,decile_6,5,1,4,9,8,4,5,2
gasoline_car,FI,75,male,7,retired,decile_9,5,1,2,3,8,3,5,4
walking,FI,35,male,6,paid_work,decile_8,5,2,3,7,8,4,4,2
public_transport,FI,22,female,2,paid_work,decile_7,5,2,5,9,10,4,6,2
walking,FI,75,male,5,retired,decile_3,5,3,4,9,9,3,4,3
electric_car,FI,73,male,7,retired,decile_7,5,2,4,5,10,3,3,5
walking,FI,52,female,6,paid_work,decile_5,5,1,3,7,8,2,2,2
gasoline_car,FI,80,male,4,retired,decile_5,3,2,3,4,7,5,5,3
gasoline_car,FI,41,female,7,paid_work,decile_9,5,1,3,6,5,4,5,2
electric_car,FI,73,female,5,retired,decile_9,5,1,5,8,3,4,4,3
public_transport,FI,31,female,7,paid_work,decile_6,5,1,4,8,7,4,5,1
walking,FI,61,female,7,paid_work,decile_10,5,1,3,10,5,5,5,2
gasoline_car,FI,78,male,7,retired,decile_8,5,1,2,7,8,5,6,3
walking,FI,66,female,7,paid_work,decile_8,5,1,4,8,10,4,6,2
electric_car,FI,75,male,1,retired,decile_7,5,2,2,10,7,2,5,3
electric_car,FI,52,male,4,paid_work,decile_10,5,2,3,7,0,5,5,4
gasoline_car,FI,64,female,5,paid_work,decile_6,5,2,3,6,0,3,6,3
gasoline_car,FI,44,male,6,paid_work,decile_6,5,2,1,0,8,4,4,5
walking,FI,71,female,5,retired,decile_8,5,1,4,5,10,4,6,2
public_transport,FI,26,female,4,education,decile_1,5,2,3,8,8,3,4,2
bicycle,FI,27,male,4,education,decile_1,5,2,4,2,10,5,4,3
walking,FI,46,female,6,unemployed_looking,decile_6,5,2,3,8,9,4,3,3
gasoline_car,FI,62,female,7,paid_work,decile_9,5,1,2,5,5,4,5,3
gasoline_car,FI,34,male,2,education,decile_1,5,4,2,1,0,2,2,5
gasoline_car,FI,78,female,6,retired,decile_4,5,1,3,4,5,4,5,3
bicycle,FI,68,male,5,retired,decile_6,4,2,3,7,6,4,5,3
